server_count,avg_cpu_util,storage_tb,downtime_tolerance,compliance_level,growth_rate,budget_sensitivity,strategy
332,24,3.4760647670440266,6.9631889816743024,1,8,3,Lift-and-Shift
57,79,9.606944430312199,10.415162762603854,1,5,1,Hybrid
124,74,60.59985417594805,13.689258979057405,3,34,2,Cloud-Native
117,67,59.33730270371496,19.521615731928925,1,10,3,Hybrid
221,53,28.50926282549254,5.559873409528336,2,6,1,Hybrid
199,22,36.538958667978214,8.582959478255821,2,2,3,Hybrid
240,78,13.357790122467726,22.17394124266176,1,35,2,Cloud-Native
429,90,62.23345548406036,20.750112157303263,3,12,3,Hybrid
40,15,66.4650685382033,18.667106008534258,1,14,1,Lift-and-Shift
199,45,45.88761993447511,20.10159502605763,1,23,2,Hybrid
112,44,70.48021103239658,16.56337014011168,1,38,3,Cloud-Native
92,78,73.18355299708458,4.339958603405317,2,17,3,Hybrid
357,81,22.741902223056627,8.120644258760063,1,14,1,Hybrid
417,50,40.715313915210565,2.05543222247136,3,20,1,Hybrid
340,73,40.16755820500576,21.99186835890277,2,9,2,Hybrid
76,41,74.75390922706904,13.165966307181325,3,37,2,Cloud-Native
464,84,40.54065000889933,5.654037840196159,1,32,2,Cloud-Native
51,16,86.24918805699991,4.091771004684135,1,27,3,Cloud-Native
37,59,38.780309364147136,23.908852435642274,3,16,3,Hybrid
445,11,68.34805761539533,3.191965960116636,3,17,3,Lift-and-Shift
179,24,30.056512736095186,4.2167072270997386,1,16,3,Cloud-Native
395,32,51.260485785828195,3.000654335746067,3,19,3,Lift-and-Shift
264,87,20.69219907470857,9.286975535891976,1,34,3,Cloud-Native
475,10,60.295513861562675,11.982234138680274,1,23,2,Lift-and-Shift
127,17,24.84628765227608,13.832888176689385,1,5,3,Hybrid
253,18,97.82046487405609,13.018594983943618,1,8,3,Lift-and-Shift
248,80,17.347568938438638,12.900334004328968,3,27,1,Hybrid
480,79,75.77125446694474,16.711889354341103,3,19,2,Hybrid
348,57,44.371908307535904,12.66303226433638,1,15,1,Hybrid
37,53,3.0823917406988293,13.517155776975274,3,14,1,Lift-and-Shift
41,90,6.828502920756017,2.083907710592226,1,21,1,Hybrid
268,40,28.56924913249015,11.907240730036532,3,8,3,Hybrid
483,83,58.04495332236909,6.210435196299526,2,26,1,Hybrid
53,22,66.23929220195164,8.825992814854514,2,29,3,Cloud-Native
32,22,7.000654733624351,17.61301932836779,1,15,1,Lift-and-Shift
102,78,45.412741235480055,10.414218536108498,2,29,1,Hybrid
452,19,44.86994376029224,20.741703961903017,3,6,1,Lift-and-Shift
338,79,83.76673092291524,23.271412046191653,1,10,2,Hybrid
253,71,22.160982620718986,9.924446874912137,1,10,2,Hybrid
6,59,27.255102759043044,18.92565914579138,2,18,2,Hybrid
361,81,66.52525988312378,11.936778173876743,1,18,1,Hybrid
500,17,58.338848790809365,13.241587232295444,3,20,1,Lift-and-Shift
30,84,48.202063193784554,22.10559757455377,3,10,1,Lift-and-Shift
496,75,8.9310350588181,4.866886583046996,3,4,3,Hybrid
446,40,40.97377958050947,22.6275089898836,3,15,3,Hybrid
